Title(BHK),location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type
3,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
3,lucknow,1158,5,17,New Property,Semi-Furnished,North,"Garden/Park, Pool, Main Road",3,2,1,Covered
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
3,zirakpur,983,3,8,New Property,Semi-Furnished,East,Garden/Park,3,2,1,"Covered,"
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
4,vadodara,1715,9,10,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",4,1,2,Covered
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
4,ahmedabad,2623,7,13,New Property,Unfurnished,East,"Main Road, Garden/Park, Pool",4,1,2,Covered
4,bangalore,3200,6,19,New Property,Unfurnished,East,Garden/Park,2,2,1,Covered
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
4,hyderabad,3600,2,4,New Property,Semi-Furnished,North,Garden/Park,4,1,2,Covered
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
2,ahmedabad,910,2,10,Resale,Semi-Furnished,North - East,Garden/Park,2,2,1,Covered
3,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
1,pune,512,3,7,Resale,Unfurnished,East,Main Road,2,2,1,Covered
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
2,noida,980,10,17,Resale,Semi-Furnished,South -West,Garden/Park,2,4,1,Covered
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
2,new-delhi,495,1,4,New Property,Furnished,East,"Garden/Park, Main Road",2,1,1,Covered
2,kolkata,745,1,3,Resale,Furnished,North - East,Main Road,2,1,1,Covered
3,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
2,chennai,1400,4,4,Resale,Semi-Furnished,North,Garden/Park,2,2,2,Covered
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
2,new-delhi,800,2,4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",2,2,1,"Covered,"
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
1,pune,780,2,9,Resale,Semi-Furnished,East,Garden/Park,2,1,1,Open
4,gurgaon,1700,2,2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",4,4,1,Open
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
2,faridabad,1200,2,14,Resale,Semi-Furnished,North,Garden/Park,2,2,1,"Covered,"
3,bangalore,2700,12,13,Resale,Furnished,East,Garden/Park,3,5,2,Covered
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
3,surat,1246,9,11,Resale,Furnished,East,"Garden/Park, Main Road",3,1,1,"Covered,"
3,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
4,gurgaon,1700,2,2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",4,4,1,Open
3,new-delhi,1600,7,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
4,ahmedabad,1707,6,14,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",4,1,2,Covered
3,greater-noida,1445,3,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,"
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
3,jaipur,862,3,6,New Property,Semi-Furnished,East,Main Road,3,2,1,Covered
3,vadodara,1250,3,5,Resale,Furnished,North - East,Garden/Park,3,1,1,"Covered,"
3,chandigarh,1450,2,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",3,2,1,"Covered,"
3,faridabad,1550,4,4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",3,2,2,Covered
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
3,chennai,1024,1,2,New Property,Unfurnished,East,Main Road,2,2,1,Covered
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
2,chennai,908,2,2,Resale,Semi-Furnished,South,Garden/Park,2,2,1,Covered
3,greater-noida,950,5,24,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",2,4,1,Covered
3,faridabad,1850,1,4,New Property,Semi-Furnished,East,Main Road,3,2,1,Covered
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
2,bangalore,1152,8,14,New Property,Unfurnished,East,Garden/Park,2,2,1,Covered
3,zirakpur,1100,3,4,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",3,3,2,"Covered,"
3,jaipur,1058,3,6,New Property,Semi-Furnished,East,Main Road,3,2,1,Covered
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
3,new-delhi,1600,7,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
4,hyderabad,3600,2,4,New Property,Semi-Furnished,North,Garden/Park,4,1,2,Covered
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,kolkata,1350,2,10,Resale,Unfurnished,South - East,Garden/Park,2,2,1,Covered
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
3,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,"
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
2,jaipur,850,2,3,Resale,Semi-Furnished,North,Garden/Park,2,1,1,Covered
3,bangalore,1000,10,10,Resale,Furnished,South -West,"Garden/Park, Pool, Main Road",3,2,2,Covered
4,gurgaon,2700,15,18,Resale,Unfurnished,East,"Garden/Park, Pool",5,2,2,Covered
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
4,sonipat,1800,5,11,Resale,Semi-Furnished,North,"Garden/Park, Pool",4,4,2,Open
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
3,gurgaon,1296,2,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",3,2,2,Covered
3,ranchi,1413,2,6,New Property,Unfurnished,East,Main Road,3,3,1,Covered
4,gurgaon,4583,9,30,New Property,Unfurnished,North - East,Garden/Park,5,4,2,Covered
3,new-delhi,1500,7,11,Resale,Semi-Furnished,North,Garden/Park,3,2,2,Open
3,rajahmundry,1300,4,5,Resale,Semi-Furnished,West,Garden/Park,2,3,1,Covered
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
2,bangalore,1200,9,19,Resale,Unfurnished,North - East,Main Road,2,1,1,Covered
3,faridabad,1288,10,15,Resale,Unfurnished,West,Main Road,2,4,2,Covered
2,chennai,908,2,2,Resale,Semi-Furnished,South,Garden/Park,2,2,1,Covered
3,faridabad,1296,1,4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",2,2,1,Covered
3,gurgaon,1650,1,4,Resale,Furnished,North,"Garden/Park, Main Road",3,2,2,"Covered,"
3,jaipur,1290,9,12,Resale,Semi-Furnished,East,"Garden/Park, Pool",2,2,1,Covered
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
2,mumbai,623,10,22,New Property,Semi-Furnished,East,Main Road,2,0,1,Covered
3,greater-noida,1270,10,19,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,Covered
2,chennai,922,2,3,New Property,Unfurnished,East,Main Road,2,1,1,Covered
4,faridabad,2730,1,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,2,"Covered,"
3,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered
3,gurgaon,1976,10,22,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",3,2,1,Covered
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
2,bhiwadi,1048,9,12,Resale,Semi-Furnished,North - East,Main Road,2,1,1,Covered
3,agra,1350,2,3,New Property,Furnished,West,Main Road,2,2,1,Covered
2,new-delhi,850,1,4,Resale,Semi-Furnished,East,Main Road,2,2,2,Open
2,navi-mumbai,721,2,20,Resale,Unfurnished,North - East,Main Road,2,2,1,Open
3,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,"
3,new-delhi,1350,3,10,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
4,hyderabad,3600,1,4,New Property,Semi-Furnished,North,Garden/Park,4,1,2,Covered
3,new-delhi,1600,3,7,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,3,1,"Covered,"
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
3,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,"
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
3,pune,1140,8,26,Resale,Unfurnished,East,"Pool, Garden/Park",2,2,1,"Covered,"
3,mohali,2200,12,13,Resale,Furnished,East,"Garden/Park, Main Road",3,6,1,"Covered,"
2,new-delhi,850,1,4,Resale,Semi-Furnished,East,Main Road,2,2,2,Open
3,faridabad,1238,2,2,Resale,Semi-Furnished,East,Garden/Park,3,3,1,Open
3,jaipur,1000,0,5,New Property,Semi-Furnished,East,Main Road,2,2,1,Covered
2,vadodara,810,4,6,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",2,1,1,Covered
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
2,new-delhi,600,1,4,New Property,Semi-Furnished,North,Main Road,2,1,1,"Covered,"
3,gurgaon,1470,4,4,New Property,Semi-Furnished,North - East,Garden/Park,3,3,1,Covered
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
1,mumbai,500,0,12,Resale,Semi-Furnished,East,"Pool, Garden/Park, Main Road",2,1,1,Open
2,pune,931,3,13,New Property,Unfurnished,North - East,"Garden/Park, Main Road",2,2,1,Covered
5,chennai,2800,14,19,Resale,Semi-Furnished,East,Main Road,5,2,2,Covered
3,noida,1310,15,18,Resale,Semi-Furnished,North - East,Garden/Park,2,3,1,"Covered,"
2,kolkata,745,1,3,Resale,Furnished,North - East,Main Road,2,1,1,Covered
3,kanpur,1650,5,6,Resale,Semi-Furnished,East,"Garden/Park, Main Road",2,4,1,Covered
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
2,greater-noida,971,20,20,New Property,Unfurnished,North - East,"Garden/Park, Pool, Main Road",2,3,1,Covered
3,greater-noida,761,12,24,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",2,4,1,Covered
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
2,mumbai,850,3,10,Resale,Furnished,East,Main Road,2,0,1,Covered
3,new-delhi,1900,3,7,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,2,1,"Covered,"
3,visakhapatnam,1900,2,5,New Property,Unfurnished,East,Main Road,3,3,1,Covered
3,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open
1,mohali,446,2,2,New Property,Furnished,South - East,"Pool, Main Road",1,2,1,Open
3,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered
3,new-delhi,900,3,4,Resale,Semi-Furnished,North - West,Garden/Park,2,2,1,Covered
3,pune,1175,3,6,New Property,Furnished,North - East,Garden/Park,3,1,2,Covered
3,greater-noida,1163,6,25,New Property,Unfurnished,North - East,"Garden/Park, Pool, Main Road",4,4,1,"Covered,"
3,greater-noida,975,3,4,New Property,Semi-Furnished,North - East,Main Road,2,2,1,Covered
3,hyderabad,1700,4,5,Resale,Semi-Furnished,North,Garden/Park,3,2,1,Covered
2,kolkata,745,1,3,Resale,Furnished,North - East,Main Road,2,1,1,Covered
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
2,new-delhi,850,1,4,Resale,Semi-Furnished,East,Main Road,2,2,2,Open
3,chennai,1200,1,4,Resale,Unfurnished,South,Garden/Park,3,1,1,Covered
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
2,faridabad,600,1,14,Resale,Semi-Furnished,East,Main Road,2,2,1,Covered
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
2,kozhikode,1050,6,12,Resale,Furnished,North - West,"Garden/Park, Pool, Main Road",2,1,1,Covered
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
2,greater-noida,580,6,25,New Property,Unfurnished,North - East,"Garden/Park, Pool, Main Road",2,3,1,"Covered,"
4,gurgaon,1800,6,14,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",4,2,1,"Covered,"
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
3,jaipur,862,3,6,New Property,Semi-Furnished,East,Main Road,3,2,1,Covered
2,tirupati,900,1,5,Resale,Unfurnished,North,"Garden/Park, Main Road",2,1,1,Covered
3,faridabad,1044,2,4,Resale,Semi-Furnished,East,Garden/Park,2,2,1,Covered
3,lucknow,962,10,19,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,0,1,"Covered,"
3,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered
3,jaipur,810,2,6,New Property,Semi-Furnished,West,Main Road,2,1,1,Covered
2,chennai,800,2,3,New Property,Unfurnished,North,Main Road,2,1,1,Covered
4,gurgaon,1700,2,2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",4,4,1,Open
3,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,"
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
3,jaipur,1086,3,6,New Property,Semi-Furnished,East,Main Road,3,2,1,Covered
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
3,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,"
2,zirakpur,980,8,14,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",2,3,1,Covered
3,greater-noida,1160,5,20,Resale,Semi-Furnished,North - East,Garden/Park,2,4,1,Covered
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,"
3,hyderabad,1323,1,10,New Property,Unfurnished,East,"Garden/Park, Main Road",3,1,2,"Covered,"
3,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,"
3,jaipur,950,3,5,New Property,Semi-Furnished,North,Main Road,2,2,1,Covered
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
3,noida,1500,9,27,Resale,Semi-Furnished,North - East,"Main Road, Garden/Park, Pool",4,4,2,Covered
3,faridabad,800,8,14,Resale,Unfurnished,East,Garden/Park,2,3,1,Open
3,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered
3,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered
4,gurgaon,4518,4,4,New Property,Semi-Furnished,North - East,Main Road,4,3,2,Covered
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
4,faridabad,2800,10,17,Resale,Semi-Furnished,North,Garden/Park,4,4,2,Covered
2,visakhapatnam,1210,7,19,Resale,Unfurnished,East,Main Road,2,2,1,Covered
3,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,"
4,new-delhi,2100,3,3,Resale,Furnished,East,"Garden/Park, Main Road",5,4,1,Covered
4,gurgaon,4583,9,30,New Property,Unfurnished,North - East,Garden/Park,5,4,2,Covered
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open
3,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,"
3,faridabad,1128,8,9,Resale,Unfurnished,East,Garden/Park,2,3,1,Covered
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
3,kolkata,1100,2,4,Resale,Furnished,South - East,"Pool, Main Road",2,1,1,Covered
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
3,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,"
2,chennai,908,2,2,Resale,Semi-Furnished,South,Garden/Park,2,2,1,Covered
4,ahmedabad,2623,7,13,New Property,Unfurnished,East,"Main Road, Garden/Park, Pool",4,1,2,Covered
3,new-delhi,1400,3,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,"
2,sonipat,930,9,12,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",2,2,1,Covered
3,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,"
4,gurgaon,2500,17,51,Resale,Unfurnished,North,"Garden/Park, Pool",4,3,2,Covered
2,mumbai,650,1,5,Resale,Semi-Furnished,North - West,"Garden/Park, Main Road",2,0,1,Open
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
3,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open
3,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open
3,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,"
4,new-delhi,2027,2,4,New Property,Semi-Furnished,East,Garden/Park,4,2,2,"Covered,"
2,hyderabad,233,2,5,New Property,Unfurnished,West,Main Road,2,2,1,Covered
4,gurgaon,2100,3,4,Resale,Semi-Furnished,North - East,Main Road,4,3,2,"Covered,"
2,thane,586,1,8,Resale,Unfurnished,East,Garden/Park,2,1,1,Open
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
2,zirakpur,1150,7,12,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",3,2,1,Covered
2,ahmedabad,900,2,5,Resale,Semi-Furnished,East,Main Road,2,1,1,Covered
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,gurgaon,1470,4,4,New Property,Semi-Furnished,North - East,Garden/Park,3,3,1,Covered
3,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
4,new-delhi,2100,8,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,new-delhi,1600,7,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
2,ahmedabad,875,2,10,Resale,Furnished,East,Main Road,2,2,1,Open
3,gurgaon,1800,13,18,Resale,Semi-Furnished,North,Garden/Park,4,3,2,Covered
2,hyderabad,956,5,5,Resale,Furnished,East,Garden/Park,2,1,1,Covered
2,pune,792,2,14,New Property,Semi-Furnished,East,"Pool, Main Road",2,2,1,Covered
3,faridabad,1276,7,11,Resale,Unfurnished,North,Garden/Park,2,3,1,Covered
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
3,hyderabad,1830,16,26,New Property,Unfurnished,East,"Main Road, Garden/Park",3,1,2,Covered
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
2,new-delhi,495,1,4,New Property,Furnished,East,"Garden/Park, Main Road",2,1,1,Covered
3,bangalore,1300,1,8,Resale,Furnished,West,"Garden/Park, Pool, Main Road",2,1,1,Covered
3,chandigarh,1000,3,4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",2,2,1,Covered
3,zirakpur,1000,2,3,New Property,Semi-Furnished,North - East,Garden/Park,3,2,1,"Covered,"
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered
3,kolkata,2550,2,4,Resale,Semi-Furnished,East,Garden/Park,3,2,2,Covered
5,chennai,2800,14,19,Resale,Semi-Furnished,East,Main Road,5,2,2,Covered
2,new-delhi,850,1,4,Resale,Semi-Furnished,East,Main Road,2,2,2,Open
2,bangalore,1000,7,32,Resale,Unfurnished,East,Garden/Park,2,1,1,Covered
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
3,new-delhi,1600,7,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,mohali,1550,2,2,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",3,2,2,Open
3,gurgaon,1470,4,4,New Property,Semi-Furnished,North - East,Garden/Park,3,3,1,Covered
3,kanpur,1750,7,13,Resale,Furnished,East,"Garden/Park, Main Road",3,4,1,Covered
1,lucknow,550,1,3,Resale,Semi-Furnished,North,"Garden/Park, Main Road",2,1,1,"Covered,"
4,gurgaon,1800,6,14,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",4,2,1,"Covered,"
4,gurgaon,1700,2,2,Resale,Semi-Furnished,East,"Garden/Park, Main Road",4,4,1,Open
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
3,gurgaon,1470,4,4,New Property,Semi-Furnished,North - East,Garden/Park,3,3,1,Covered
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
2,mumbai,780,15,45,Resale,Semi-Furnished,East,Garden/Park,2,0,1,Covered
1,mumbai,323,8,16,New Property,Unfurnished,East,"Garden/Park, Main Road",2,0,1,Open
3,new-delhi,1400,4,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",2,4,1,"Covered,"
4,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
3,jamshedpur,1350,1,2,Resale,Unfurnished,South,Garden/Park,2,2,1,Covered
4,gurgaon,4583,9,30,New Property,Unfurnished,North - East,Garden/Park,5,4,2,Covered
3,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
2,hyderabad,956,5,5,Resale,Furnished,East,Garden/Park,2,1,1,Covered
3,mohali,1150,2,3,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,Covered
4,gurgaon,1500,2,3,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,4,2,Open
3,jaipur,1058,3,6,New Property,Semi-Furnished,East,Main Road,3,2,1,Covered
3,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,"
2,ahmedabad,900,2,5,Resale,Semi-Furnished,East,Main Road,2,1,1,Covered
3,bangalore,1885,10,24,Resale,Semi-Furnished,North - East,Pool,3,3,1,"Covered,"
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,hyderabad,1700,4,5,Resale,Semi-Furnished,North,Garden/Park,3,2,1,Covered
2,kolkata,745,1,3,Resale,Furnished,North - East,Main Road,2,1,1,Covered
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
3,hyderabad,1830,16,26,New Property,Unfurnished,East,"Main Road, Garden/Park",3,1,2,Covered
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,"
3,new-delhi,1600,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,3,1,"Covered,"
3,gurgaon,1600,3,10,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,2,1,"Covered,"
